PRINCIPIO ATIVO,CNPJ,LABORATORIO,REGISTRO,EAN,PRODUTO,APRESENTACAO,CLASSE TERAPEUTICA,PMC 0%,PMC 12%,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 20%
COALTAR,63.064.653/0001-54,LABORATORIOS STIEFEL LTDA,1067500380054,7896251803803,TARFLEX,40 MG/ML XAMP FR PET AMB X 200 ML,D05A0 - ANTIPSORIASE TOPICOS,51.27,58.99,62.95,56.83,63.38,57.18,63.8,57.52,65.59
COLAGENASE,56.998.701/0001-16,ABBOTT LABORATORIOS DO BRASIL LTDA,1055302590075,7896255702218,GYNO IRUXOL,"0,6 UI/G + 10 MG/G POM GIN CT BG AL X 30 G + APLIC",G01C0 - ANTIBIOTICOS GINECOLOGICOS,38.29,44.07,47.01,42.45,47.33,42.7,47.66,42.97,49
COLCHICINA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,1011801090041,7896637024358,COLCHIS,"0,5 MG COM CT BL AL PLAS AMB X 30",M04A0 - ANTIGOTOSOS,43.89,49.88,52.88,52.88,53.21,53.21,53.53,53.53,54.87
COLECALCIFEROL,02.456.955/0001-83,NATULAB LABORATORIO S.A,1384100290057,7898133134821,OSTEOFIX,500 MG + 200 UI COM CX FR PLAS OPC X 3000,A12A0 - PRODUTOS A BASE DE CALCIO,2260.74,2601.43,2775.87,2506.23,2794.62,2521.42,2813.62,2536.79,2892.31
COLESTIRAMINA,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,1018001090028,7896016801273,QUESTRAN LIGHT,"854,4 MG/G PO OR CT 10 ENV AL POLIET X 4,68 G",C10A3 - RESINAS TROCADORAS DE IONS,62.39,70.91,75.18,75.18,75.63,75.63,76.09,76.09,78
COLISTIMETATO DE SODIO,38.909.503/0001-57,OPEM REPRESENTACAO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA,1274800280050,7898905267955,PROMIXIN,2.000.000 UI PO INJ / INAL CX 10 FA VD TRANS,J01X2 - POLIMIXINAS,356.34,404.93,429.32,429.32,431.92,431.92,434.56,434.56,445.42
COMPLEXO OSSEINA-HIDROXIAPATITA,33.051.491/0001-59,LABORATORIOS PIERRE FABRE DO BRASIL LTDA,1016202450017,7896290401961,OSSOPAN,200 MG DRG CT FR VD AMB X 30 ,M05B9 - OUTROS REGULADORES DO CALCIO OSSEO,12.65,14.56,15.54,14.03,15.64,14.11,15.75,14.2,16.19
CRIZOTINIBE,46.070.868/0001-69,LABORATORIOS PFIZER LTDA.,1021602410027,7891268110371,XALKORI,200 MG CAP DUR CT BL AL PLAS TRANS X 60,L01H0 - INIBIDORES DE PROTEINA QUINASE,24289.87,27950.21,29824.57,26927.51,30025.99,27090.71,30230.14,27255.9,31075.59
CROMOGLICATO DISSODICO,48.396.378/0001-82,UCI - FARMA INDUSTRIA FARMACEUTICA LTDA,1055000680019,7897655400230,RILAN,20 MG/ML SOL NAS CT FR PLAS OPC SPY X 15 ML,R01A6 - AGENTES ANTIALERGICOS NASAIS,17.85,20.28,21.5,21.5,21.62,21.62,21.76,21.76,22.3
CUMARINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,1063901180045,7896641809545,VENALOT H,5 MG/ML + 50 UI/ML CREM DERM CT FR PLAS OPC X 240 ML  ,C05B0 - TERAPIA ANTIVARICOSA TOPICA,46.69,53.04,56.24,56.24,56.58,56.58,56.93,56.93,58.35
CANFORA,48.113.906/0001-49,ONEFARMA INDUSTRIA FARMACEUTICA LTDA,1048100310052,7898075312417,MENTALOL,"28,2 MG + 52,6 MG + 13,3 MG UNG DISP 12 PT PLAS X 12 G",R04A0 - UNGUENTOS PERCUTANEOS E OUTROS INALANTES,73.34,84.39,90.05,81.3,90.66,81.8,91.28,82.3,93.82
DABIGATRANA,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,1036701600078,7896026303064,PRADAXA,110 MG CAP DURA CT BL AL/AL X 60,B01E0 - INIBIDORES DIRETOS DA TROMBINA,229.65,260.96,276.68,276.68,278.35,278.35,280.05,280.05,287.05
DACLATASVIR,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,1018004060030,7896016808203,DAKLINZA,30 MG COM REV CT BL AL PLAS TRANS X 7,J05B1 - PRODUTOS PARA HEPATITES VIRAIS,2386.25,2745.84,2929.98,2645.37,2949.77,2661.41,2969.82,2677.64,3052.88
DALTEPARINA SODICA,46.070.868/0001-69,LABORATORIOS PFIZER LTDA.,1021602340037,7891268103649,FRAGMIN,"12500 UI/ML SOL INJ CT 2 BL PAP PLAS INC X 5 SER VD INC X 0,2 ML + DISPOSITIVO PROTECAO",B01B2 - HEPARINAS FRACIONADAS,98.73,112.2,118.96,118.96,119.68,119.68,120.41,120.41,123.42
DANAZOL,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130010390026,7897595900180,LADOGAL,100 MG CAP GEL DURA CT BL AL PLAS INC X 50,G03X0 - OUTROS HORMONIOS SEXUAIS E PRODUTOS SIMILARES,152.82,173.66,184.13,184.13,185.23,185.23,186.37,186.37,191.03
DAPAGLIFLOZINA,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,1018004040031,7896016807893,FORXIGA,10 MG COM REV CT BL AL/AL X 7 ,"A10P1 - ANTIDIABETICOS INIBIDORES DE SGLT2, PUROS",30.34,34.48,36.57,36.57,36.79,36.79,37.01,37.01,37.93
DAPOXETINA,51.780.468/0001-87,JANSSEN-CILAG FARMACEUTICA LTDA,1123633970027,7896212423149,PRILIGY,30 MG COM REV CT BL AL PLAS INC X 3,G04B9 - TODOS OUTROS PRODUTOS UROLOGICOS,85.3,98.15,104.73,94.56,105.44,95.14,106.16,95.72,109.13
DAPTOMICINA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006810580017,7896261014510,CUBICIN,500 MG PO LIOF INJ CT FR AMP VD INC ,J01X9 - TODOS OS OUTROS ANTIBIOTICOS,313.91,356.73,378.21,378.21,380.5,380.5,382.83,382.83,392.39
DASATINIBE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,1018003920036,7896016806599,SPRYCEL,20 MG COM REV CT FR PLAS OPC X 60,L01H0 - INIBIDORES DE PROTEINA QUINASE,6603.24,7503.68,7955.71,7955.71,8003.92,8003.92,8052.73,8052.73,8254.06
DECANOATO DE HALOPERIDOL,44.734.671/0001-51,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.,1029802400039,7896676426199,HALO  DECANOATO,50 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML,N05A9 - ANTIPSICOTICOS CONVENCIONAIS,569.63,647.31,686.31,686.31,690.46,690.46,694.68,694.68,712.04
DECANOATO DE NANDROLONA,03.560.974/0001-18,SCHERING-PLOUGH INDUSTRIA FARMACEUTICA LTDA,1017100080035,7897572000049,DECADURABOLIN,25 MG/ML SOL INJ CT AMP VD INC X 1 ML,A14A1 - ANABOLIZANTES HORMONAIS PUROS,9.03,10.26,10.87,10.87,10.94,10.94,11,11,11.28
DEFERASIROX,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006810400019,7896261011502,EXJADE,125 MG COM DISP CT BL ALU/ALU X 28,V03F0 - AGENTES FERRO-QUELANTES,878.9,998.76,1058.92,1058.92,1065.34,1065.34,1071.83,1071.83,1098.63
DEFERIPRONA,61.363.032/0001-46,CHIESI FARMACEUTICA LTDA,1005801010019,7896672202438,FERRIPROX,500 MG COM REV CT FR PLAS OPC X 100,V03F0 - AGENTES FERRO-QUELANTES,1393.1,1583.06,1678.42,1678.42,1688.6,1688.6,1698.9,1698.9,1741.36
DEFLAZACORTE,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356905940105,7894916502870,DEFLAIMMUN,30 MG COM CT BL AL PLAS INC X 10,H02A2 - CORTICOSTEROIDES ORAIS PUROS,67.92,77.18,81.84,81.84,82.34,82.34,82.84,82.84,84.91
DELTAMETRINA,79.648.523/0001-07,INDUSTRIA FARMACEUTICA SANTA TEREZINHA LTDA - EPP,1157000040021,7896568900165,PIOSARIM DELTAM,"0,2 MG/ML LOCAO FR PL OP CT 100 ML ",P03A0 - ECTOPARASITICIDAS INCLUINDO ESCABICIDAS,11.9,13.69,14.62,13.2,14.71,13.27,14.82,13.35,15.23
DENOSUMABE,18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,1024400080012,7898609960565,PROLIA,60 MG/ML SOL INJ CT SER PREENCH VD TRANS X 1 ML,M05B9 - OUTROS REGULADORES DO CALCIO OSSEO,772.04,877.31,930.16,930.16,935.8,935.8,941.51,941.51,965.05
DESFLURANO,49.351.786/0001-80,BAXTER HOSPITALAR LTDA,1068301670018,7898473020099,DESFORANE,100% LIQ INAL CT 6 FR VD AMB X 240 ML,N01A1 - ANESTESICOS GERAIS INALANTES,1363.07,1548.96,1642.26,1642.26,1652.21,1652.21,1662.29,1662.29,1703.85
DESLANOSIDEO,60.665.981/0001-18,UNIAO QUIMICA FARMACEUTICA NACIONAL S/A,1049712290018,7896006265702,DESLANOL,"0,2 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML",C01A1 - CARDIOGLICOSIDEOS PUROS,80.32,91.27,96.77,96.77,97.35,97.35,97.95,97.95,100.39
DESLORATADINA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356905510135,7894916509183,SIGMALIV,5 MG COM REV CT BL AL PLAS OPC X 30,R06A0 - ANTI-HISTAMINICOS SISTEMICOS,102.27,117.68,125.57,113.39,126.43,114.07,127.29,114.77,130.85
DESOGESTREL,03.560.974/0001-18,SCHERING-PLOUGH INDUSTRIA FARMACEUTICA LTDA,1017100890016,7897572001923,CERAZETTE,"0,075 MG COM REV CT BL AL PLAS INC X 28",G03A5 - PREPARACOES ORAIS COM PROGESTERONA SOMENTE,33.01,37.51,39.77,39.77,40.01,40.01,40.26,40.26,41.27
DESONIDA,05.044.984/0001-26,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1677302580011,7894916141666,DESONIDA,"0,5 MG/G CREM CT BG AL X 30 G",D07A0 - CORTICOESTEROIDES TOPICOS PUROS,13.8,15.88,16.94,15.3,17.06,15.39,17.17,15.48,17.65
DESOXIMETASONA,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130000370030,7891058263096,ESPERSON,"2,5 MG/G POM DERM CT BG AL X 20 G",D07A0 - CORTICOESTEROIDES TOPICOS PUROS,27.3,31.04,32.9,32.9,33.1,33.1,33.3,33.3,34.13
DEXAMETASONA,29.785.870/0001-03,LABORATORIO NEO QUIMICA COMERCIO E INDUSTRIA LTDA,1046500270043,7896714200934,NEODEX,"0,5MG COM CT BL AL PLAS INC X 10",H02A2 - CORTICOSTEROIDES ORAIS PUROS,3.98,4.52,4.8,4.8,4.82,4.82,4.85,4.85,4.98
DEXLANSOPRAZOL,60.397.775/0001-74,TAKEDA PHARMA LTDA.,1063902610019,7896641808968,DEXILANT,30 MG CAP LIB RETARD CT BL AL/AL X 2,A02B2 - INIBIDORES DA BOMBA DE PROTONS,4.24,4.88,5.21,4.7,5.24,4.73,5.28,4.76,5.42
DEXPANTENOL,27.011.022/0001-03,BL INDUSTRIA OTICA LTDA,1196100120020,7896046303013,DEXPANTENOL - EPITEGEL,50 MG/G GEL OFT CT BG PLAS OPC 10 G,S01M0 - TONICOS E VITAMINAS OFTALMOLOGICAS,32.28,37.13,39.63,35.78,39.9,36,40.17,36.22,41.29
DEXTROTARTARATO DE BRIMONIDINA,60.665.981/0001-18,UNIAO QUIMICA FARMACEUTICA NACIONAL S/A,1049713500040,7896006208266,GLAUB,1MG/ML SOL OFT CT FR GOT PLAS OPC X 5ML,S01E2 - PREPARACOES ANTIGLAUCOMAS E MIOTICAS TOPICAS,20.05,22.77,24.15,24.15,24.29,24.29,24.44,24.44,25.05
DIACEREINA,61.455.192/0001-15,TRB PHARMA INDUSTRIA QUIMICA E FARMACEUTICA LTDA,1034100520022,7896281152018,ARTRODAR,50 MG CAP GEL CT 3 BL AL PLAS INC X 10,M01A1 - ANTI-REUMATICOS NAO ESTEROIDAIS PUROS,130.86,148.71,157.67,157.67,158.62,158.62,159.59,159.59,163.58
DIATRIZOATO DE MEGLUMINA,10.742.412/0001-50,BRACCO IMAGING DO BRASIL IMPORTACAO E DISTRIBUICAO DE MEDICAMENTOS LTDA,1803700050060,8430214106229,RELIEV,600 MG/ML SOL INJ CX 25 FA X 20 ML,"T01B0 - AGENTE DIAGNOSTICO POR IMAGEM, IONICOS PARA ANGIO-UROGRAFIA",518.64,596.8,636.82,574.96,641.12,578.44,645.48,581.97,663.53
DIAZEPAM,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356905970111,7894916502177,DIAZEFAST,10 MG COM CT BL AL PVDC LEIT X 20,N05C0 - TRANQUILIZANTES,11.23,12.75,13.52,13.52,13.6,13.6,13.69,13.69,14.03
DICLOFENACO,57.507.378/0001-01,EMS S/A,1023503350047,7896004705545,VOLTAFLEX,100MG COM AP CT BL AL PLAS INC X 10,M01A1 - ANTI-REUMATICOS NAO ESTEROIDAIS PUROS,16.8,19.09,20.24,20.24,20.36,20.36,20.49,20.49,21
DICLOFENACO COLESTIRAMINA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356904390098,7896004738987,DICLOSTIR,140 MG CAP GEL DURA CT BL AL PLAS BCO LEIT X 10,M01A1 - ANTI-REUMATICOS NAO ESTEROIDAIS PUROS,10.11,11.47,12.17,12.17,12.25,12.25,12.32,12.32,12.62
DICLOFENACO DIETILAMONIO,47.100.862/0001-50,LABORATIL FARMACEUTICA LTDA,1057701590024,7893353609753,VOLTAFLAN,50 MG COM REV CT BL AL PLAS INC X 20,M01A1 - ANTI-REUMATICOS NAO ESTEROIDAIS PUROS,16.59,18.86,19.99,19.99,20.11,20.11,20.24,20.24,20.75
DICLOFENACO POTASSICO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006800380112,7896261000445,CATAFLAM D,"44,3 MG COM DISP CT BL AL PLAS INC X 20",M01A1 - ANTI-REUMATICOS NAO ESTEROIDAIS PUROS,27.11,30.8,32.65,32.65,32.86,32.86,33.05,33.05,33.88
DICLOFENACO SODICO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006800600120,7896261000261,VOLTAREN,100 MG COM DESINT LENTA CT BL AL PLAS INC X 10,M01A1 - ANTI-REUMATICOS NAO ESTEROIDAIS PUROS,26.92,30.58,32.42,32.42,32.63,32.63,32.82,32.82,33.63
DICLORIDRATO DE BETAISTINA,73.663.650/0001-90,RANBAXY FARMACEUTICA LTDA,1235202280031,7897076919380,BETAXETIN,24 MG COM CT BL AL AL X 30,N07C0 - ANTIVERTIGINOSOS,25.05,28.83,30.76,27.77,30.97,27.94,31.18,28.11,32.05
DICLORIDRATO DE CETIRIZINA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,1010702320016,7896269901898,ZYRTEC,10 MG COM REV CT BL AL PLAS INC X 12,R06A0 - ANTI-HISTAMINICOS SISTEMICOS,44.09,50.73,54.14,48.88,54.5,49.17,54.88,49.48,56.41
DICLORIDRATO DE FLUNARIZINA,05.161.069/0001-10,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A,1558400860049,7896714215723,VERTIGIUM,10 MG COM CT BL AL PLAS INC X 200 (EMB FRAC) ,C04A2 - ANTAGONISTAS DO CALCIO COM ACAO CEREBRAL,35.29,40.12,42.52,42.52,42.79,42.79,43.05,43.05,44.13
DICLORIDRATO DE FLURAZEPAM,61.186.136/0001-22,VALEANT FARMACEUTICA DO BRASIL LTDA,1057500410010,7898168007015,DALMADORM,30 MG COM REV CT BL AL PVC X 30,N05B1 - HIPNOTICOS E SEDATIVOS NAO BARBITURICOS PUROS,17.87,20.31,21.54,21.54,21.66,21.66,21.8,21.8,22.34
DICLORIDRATO DE HIDROXIZINA,33.051.491/0001-59,LABORATORIOS PIERRE FABRE DO BRASIL LTDA,1016201970084,7896290402036,PRURIZIN,10 MG COM CT 2 STR X 6,R06A0 - ANTI-HISTAMINICOS SISTEMICOS,7.78,8.95,9.56,8.63,9.62,8.68,9.69,8.74,9.96
DICLORIDRATO DE LEVOCETIRIZINA,61.190.096/0001-92,EUROFARMA LABORATORIOS S.A.,1004309960035,7891317457211,ZINA,"5,0 MG COM REV CT BL AL/AL X 10",R06A0 - ANTI-HISTAMINICOS SISTEMICOS,28.68,33.01,35.22,31.8,35.45,31.99,35.69,32.18,36.7
DICLORIDRATO DE MANIDIPINO,61.363.032/0001-46,CHIESI FARMACEUTICA LTDA,1005800890015,7896672202308,MANIVASC,10 MG COM CT BL PVC/PVDC/AL X 14,C08A0 - ANTAGONISTAS DO CALCIO PUROS,54.48,61.91,65.64,65.64,66.04,66.04,66.44,66.44,68.1
DICLORIDRATO DE PRAMIPEXOL,05.044.984/0001-26,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1677303820014,7894916147880,DICLORIDRATO DE PRAMIPEXOL,"0,125 MG COM CT BL AL AL X 30 ",N04A0 - AANTIPARKINSONIANOS,24.69,28.05,29.75,29.75,29.93,29.93,30.11,30.11,30.86
DICLORIDRATO DE TRIFLUOPERAZINA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,1010701500037,7896015511111,STELAZINE,2 MG COM REV CT BL AL PLAS INC X 20,N05A9 - ANTIPSICOTICOS CONVENCIONAIS,6.87,7.81,8.28,8.28,8.32,8.32,8.38,8.38,8.58
DICLORIDRATO DE TRIMETAZIDINA,42.374.207/0001-76,LABORATORIOS SERVIER DO BRASIL LTDA,1127800550062,7898029558809,VASTAREL MR,35 MG COM REV CT BL AL PLAS INC X 30,C01D0 - TERAPIA CORONARIA EXCLUINDO ANTAGONISTAS DO CALCIO E NITRITOS,55.89,63.52,67.35,67.35,67.75,67.75,68.17,68.17,69.87
DIDROGESTERONA,56.998.701/0001-16,ABBOTT LABORATORIOS DO BRASIL LTDA,1055303490015,7896255766357,FEMOSTON,1 MG COM REV BCO + (1+ 10) MG COM REV CINZA CT BL AL PLAS INC X ( 14+14),G03F0 - ASSOCIACOES DE ESTROGENOS E PROGESTOGENOS,54.01,61.38,65.09,65.09,65.47,65.47,65.87,65.87,67.52
DIENOGESTE,18.459.628/0001-15,BAYER S.A.,1705600880010,7891106906890,ALLURENE,2 MG COM CT BL AL PLAS VERDE X 28,"G03D0 - PROGESTOGENOS EXCLUINDO G3A, G3F",197.64,227.42,242.67,219.1,244.31,220.43,245.97,221.77,252.86
DIETILESTILBESTROL,62.462.015/0001-29,APSEN FARMACEUTICA S/A,1011801390010,7896637022033,DESTILBENOL,1 MG COM REV CT 2 BL AL PLAS INC X 25,L02A1 - HORMONIOS ESTROGENEOS CITOSTATICOS,34.38,39.07,41.42,41.42,41.68,41.68,41.93,41.93,42.98
DIFOSFATO DE CLOROQUINA,44.734.671/0004-02,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.,1029801100041,7896676411034,QUINACRIS,250 MG COM REV CX 20 BL AL PLAS INC X 10,"P01D1 - ANTIMALARICOS, 1 INGREDIENTE",152.39,173.16,183.6,183.6,184.72,184.72,185.84,185.84,190.49
DIGLICONATO DE CLOREXIDINA,29.785.870/0001-03,LABORATORIO NEO QUIMICA COMERCIO E INDUSTRIA LTDA,1046502560022,7896714231198,ASSEPTCARE,10 MG/ML SOL TOP INCOLOR SPRAY CT FR PLAS OPC X 50 ML,D08A0 - ANTI-SEPTICOS E DESINFETANTES,14.13,16.24,17.34,15.65,17.46,15.75,17.57,15.84,18.06
DIGOXINA,05.161.069/0001-10,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A,1558404450015,7896714214979,DIGOXINA,"0,25 MG COM CT BL AL PLAS INC X 24",C01A1 - CARDIOGLICOSIDEOS PUROS,7.31,8.31,8.81,8.81,8.86,8.86,8.92,8.92,9.14
DILTIAZEM,61.150.447/0001-31,LABORATORIOS BALDACCI LTDA,1014600500281,7897851220694,BALCOR RETARD,180 MG CAP AP CT BL AL PLAS INC X 30,C08A0 - ANTAGONISTAS DO CALCIO PUROS,81.55,92.67,98.25,98.25,98.84,98.84,99.45,99.45,101.94
DIMALEATO DE AFATINIBE,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,1036701740015,7896026306119,GIOTRIF,20 MG COM REV CT ENVOL BL AL PLAS TRANS X 28,L01H0 - INIBIDORES DE PROTEINA QUINASE,2277.24,2620.41,2796.13,2524.52,2815.01,2539.82,2834.15,2555.3,2913.42
DIMENIDRINATO,60.665.981/0001-18,UNIAO QUIMICA FARMACEUTICA NACIONAL S/A,1049711280078,7896006203100,NAUSICALM,50 MG + 10 MG COM CT BL AL PLAS TRANS X 30,A04A9 - OUTROS ANTIEMETICOS E ANTINAUSEANTES,12.14,13.97,14.9,13.45,15.01,13.53,15.11,13.62,15.53
